Time,X,Y,Z,Roll,Pitch,Yaw
595 25 17 14 16 12 2021,0.0,0.0,0.0,0.0,0.0,0.0
677 27 17 14 16 12 2021,0.0,0.0,0.0,0.0,0.0,0.0
717 29 17 14 16 12 2021,0.0,0.0,0.0,0.0,0.0,0.0
922 29 17 14 16 12 2021,0.0,0.0,0.0,0.0,0.0,0.0
982 29 17 14 16 12 2021,0.0,0.0,0.0,0.0,0.0,0.0
99 30 17 14 16 12 2021,-11946.756836,9165.418945,-3.221008,0.0,0.0,-1.470222
175 30 17 14 16 12 2021,-11946.756836,9165.418945,-3.221008,0.0,0.0,-1.470222
266 30 17 14 16 12 2021,-11947.827148,9165.400391,-1.589157,0.0,0.0,10.357436
323 30 17 14 16 12 2021,-11947.827148,9165.400391,-1.589157,0.0,0.0,10.357436
375 30 17 14 16 12 2021,-11949.329102,9165.337891,-0.472336,0.0,0.0,13.96182
396 30 17 14 16 12 2021,-11949.329102,9165.337891,-0.472336,0.0,0.0,13.96182
445 30 17 14 16 12 2021,-11950.381836,9165.358398,-0.048401,0.0,0.0,12.895741
508 30 17 14 16 12 2021,-11950.381836,9165.358398,-0.048401,0.0,0.0,12.895741
522 30 17 14 16 12 2021,-11950.381836,9165.358398,-0.048401,0.0,0.0,12.895741
543 30 17 14 16 12 2021,-11950.381836,9165.358398,-0.048401,0.0,0.0,12.895741
588 30 17 14 16 12 2021,-11950.381836,9165.358398,-0.048401,0.0,0.0,12.895741
621 30 17 14 16 12 2021,-11950.381836,9165.358398,-0.048401,0.0,0.0,12.895741
645 30 17 14 16 12 2021,-11950.381836,9165.358398,-0.048401,0.0,0.0,12.895741
666 30 17 14 16 12 2021,-11951.269531,9165.743164,-0.249022,0.0,0.0,8.924782
691 30 17 14 16 12 2021,-11951.269531,9165.743164,-0.249022,0.0,0.0,8.924782
711 30 17 14 16 12 2021,-11952.594727,9166.524414,-0.773209,0.0,0.0,2.406454
732 30 17 14 16 12 2021,-11953.003906,9166.765625,-0.934845,0.0,0.0,0.397484
796 30 17 14 16 12 2021,-11953.003906,9166.765625,-0.934845,0.0,0.0,0.397484
